title,institute,location,start,end
"Documentaire ""A Camp is a Camp"" – productie, research, interview, geluid",Bureau Zeven Sloten,,2018,heden
Programmering film & documentaire,Houtfestival Haarlem,,2018,heden
"Workshop reeks Documentaire maken 4e klas – workshop ontwikkeling, les geven",Stedelijk Gymnasium Haarlem,,2018,heden
"Theatervoorstelling ""Een vrouw zonder naam"" – dramaturgie",Stichting Engagement,,2018,heden
IDFA Workshop voor middelbare scholieren,Filmschuur,,2017,heden
"CINECLUB, Workshop Documentaire maken als kunstproject",Nieuwe Vide,,2017,
Presentatie dag Bellevue Theater –  assistent stagemanager en productie,Lijn 6 - Bjorn Jansen,,2017,
"Documentaire ""Voice From the Ground"" Shelter City – interview, productie",Justice and Peace,,2017,
"Coördinator ‘Eerlijke melk’ Campagne, Haarlem",Milieudefensie,,2017,
"Documentaire ""Zo wit als roet"" – ism Docu Lab – concept, interview, productie",Bureau Zeven Sloten,,2016,heden
"Docu Lab Haarlem – coördinatie, productie, programmering",Docu Lab Haarlem,,2016,heden
"Theatervoorstelling ""Als hij zichzelf niet kent"" – dramaturgie",Stichting Engagement,,2016,
"Actiegroep milieu – Coördinatie van milieu-acties, platform opzetten",Haarlem 100% Duurzaam,,2014,2017
"Theatervoorstelling ""Project Solaris"" – productie assistent speelperiode",Ostade A’dam,,2016,
"Theatervoorstelling ""De Joodse Bruidjes"" – productie assistent",Stichting Goppe,,2016,
"Theatervoorstelling ""Ad & Eefje"" – regie assistent, productie assistent, educatie",Tafel van Vijf,,2015,2016
"Presentatiedag Alles voor de Kunsten, Via Rudolphi & Bureau Berbee – productie assistent",Lijn 6,,2015,
Vrijwilliger publieksbegeleiding en bar- werk,Theater Bellevue,,2015,
"Theatervoorstelling ""Ruis"" – vormgeving, dramaturgie",Nieuwe Doelen Festival,,2013,
"Theatervoorstelling ""Verloren"" – assistentie techniek: decor & geluid",Stichting Engagement,,2013,
"Stage UvA THW – filmregistraties digitaliseren, monteren, voorzien van meta-data",ECLAP-Project,,2012,
"Theatergezelscap – Dramaturgie, registratie",Theatergroep Het Volgende Station,,2012,2014
"Documentaire ""Daadkracht"" – interview, productie, camera, montage",Praktijkproject THW,,2012,
"Theatervoorstelling ""Gorki"" – tekst bewerking, lichtontwerp, techniek",Praktijkproject THW,,2011,
"Film project 4 mei, Een mens heeft in zijn leven – scenario, camera, montage",Stichting Engagement,,2009,
"Filmwedstrijd Toneelschuur Haarlem, 1e Juryprijs, Alice – scenario, camera, montage",Shoot Your Shot,,2007,
